female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept
0.0,0.0,0.31,0.0,0.0,2.0,1.0,0.0,0.33,0.0,0.6543779,0.0,1.0
1.0,0.0,0.13,0.0,0.0,2.0,1.0,0.0,0.28,0.0,0.6296296,0.0,1.0
1.0,0.0,0.28,0.0,0.0,2.0,1.0,0.0,0.37,0.0,0.8947368,0.0,1.0
0.0,0.0,0.25,0.0,0.0,2.0,1.0,0.0,0.3,0.0,0.4854369,0.0,1.0
0.0,0.0,0.29,0.0,1.0,2.0,1.0,0.0,0.31,0.0,0.9493671,0.0,1.0
0.0,1.0,0.21,0.0,0.0,2.0,1.0,0.0,0.26,0.0,0.8910891,0.0,1.0
1.0,0.0,0.29,0.0,0.0,2.0,1.0,0.0,0.36,0.0,0.8633093,0.0,1.0
0.0,0.0,0.2,0.0,1.0,1.0,5.0,0.0,0.37,0.0,0.71428573,0.0,1.0
0.0,0.0,0.26,0.0,0.0,2.0,3.0,0.0,0.35,0.0,0.7512195,0.0,1.0
0.0,0.0,0.26,0.0,0.0,2.0,1.0,0.0,0.37,0.0,0.9021277,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,1.0,0.0,0.34,0.0,0.84705883,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,1.0,0.0,0.38,0.0,0.47368422,0.0,1.0
0.0,0.0,0.31,0.0,1.0,1.0,1.0,0.0,0.44,0.0,0.6879699,0.0,1.0
0.0,1.0,0.22,0.0,1.0,1.0,2.0,0.0,0.35,0.0,0.8978102,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,1.0,0.0,0.38,0.0,0.8808511,0.0,1.0
0.0,0.0,0.34,0.0,0.0,2.0,1.0,0.0,0.37,0.0,0.9197531,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,1.0,0.0,0.37,0.0,0.93636364,0.0,1.0
0.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,0.41,0.0,0.64285713,0.0,1.0
0.0,0.0,0.34,0.0,1.0,2.0,1.0,0.0,0.35,1.0,1.4782609,1.0,0.0
0.0,0.0,0.3,0.0,1.0,4.0,3.0,0.0,0.41,1.0,0.72,0.0,0.0
1.0,0.0,0.28,0.0,0.0,2.0,6.0,1.0,0.34,0.0,0.6779661,0.0,1.0
0.0,0.0,0.19,0.0,1.0,2.0,2.0,0.0,0.29,0.0,0.9,0.0,1.0
0.0,0.0,0.26,0.0,1.0,2.0,6.0,1.0,0.27,1.0,0.8,0.0,0.0
1.0,1.0,0.27,0.0,0.0,2.0,1.0,0.0,0.37,0.0,0.85384613,0.0,1.0
0.0,0.0,0.3,1.0,1.0,2.0,1.0,0.0,0.34,1.0,0.7419355,0.0,0.0
0.0,0.0,0.15,0.0,0.0,1.0,2.0,0.0,0.36,0.0,0.6756757,0.0,1.0
1.0,0.0,0.32,0.0,0.0,3.0,5.0,0.0,0.34,0.0,0.6436782,0.0,1.0
0.0,0.0,0.21,0.0,1.0,2.0,1.0,0.0,0.27,0.0,0.9411765,0.0,1.0
0.0,0.0,0.08,0.0,0.0,1.0,1.0,0.0,0.16,0.0,0.7324841,0.0,1.0
0.0,0.0,0.28,0.0,0.0,2.0,1.0,0.0,0.39,0.0,0.91358024,0.0,1.0
0.0,0.0,0.26,0.0,1.0,2.0,5.0,0.0,0.36,0.0,0.20714286,0.0,1.0
0.0,0.0,0.265,0.0,1.0,2.0,1.0,1.0,0.314,0.0,0.93442625,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,1.0,1.0,0.34,0.0,0.9034483,0.0,1.0
0.0,0.0,0.28100002,0.0,0.0,2.0,2.0,0.0,0.33200002,0.0,0.902439,0.0,1.0
1.0,0.0,0.33,1.0,0.0,1.0,1.0,0.0,0.33,0.0,0.6369427,0.0,1.0
0.0,0.0,0.272,0.0,0.0,2.0,1.0,0.0,0.39900002,0.0,0.7692308,0.0,1.0
0.0,0.0,0.322,0.0,1.0,2.0,1.0,0.0,0.342,0.0,0.75,0.0,1.0
1.0,0.0,0.278,0.0,0.0,1.0,2.0,0.0,0.376,0.0,0.8,0.0,1.0
0.0,0.0,0.25100002,0.0,1.0,2.0,1.0,0.0,0.32099998,0.0,0.8888889,0.0,1.0
0.0,0.0,0.20799999,0.0,1.0,2.0,1.0,0.0,0.27899998,0.0,0.7518797,0.0,1.0
0.0,0.0,0.246,0.0,1.0,2.0,2.0,0.0,0.317,0.0,0.89403975,0.0,1.0
0.0,1.0,0.26,1.0,1.0,2.0,1.0,0.0,0.285,0.0,0.65,0.0,1.0
0.0,0.0,0.24,0.0,1.0,2.0,2.0,0.0,0.365,0.0,0.9403973,0.0,1.0
1.0,0.0,0.314,0.0,1.0,1.0,4.0,0.0,0.337,0.0,0.42553192,0.0,1.0
1.0,0.0,0.27,0.0,0.0,1.0,1.0,0.0,0.35,0.0,0.6785714,0.0,1.0
1.0,0.0,0.289,0.0,0.0,2.0,2.0,0.0,0.352,0.0,0.88461536,0.0,1.0
1.0,0.0,0.28,0.0,1.0,1.0,1.0,0.0,0.35,0.0,0.9391892,0.0,1.0
0.0,0.0,0.25100002,0.0,1.0,2.0,1.0,0.0,0.344,0.0,0.902439,0.0,1.0
0.0,0.0,0.28,0.0,0.0,2.0,1.0,0.0,0.28,0.0,0.738255,0.0,1.0
0.0,0.0,0.225,0.0,1.0,2.0,2.0,0.0,0.378,0.0,0.8994709,0.0,1.0
0.0,0.0,0.19399999,0.0,1.0,2.0,2.0,0.0,0.258,0.0,0.6779661,0.0,1.0
0.0,0.0,0.081999995,1.0,1.0,1.0,2.0,0.0,0.218,0.0,0.8021978,0.0,1.0
0.0,0.0,0.17,0.0,1.0,1.0,1.0,0.0,0.23,0.0,0.55307263,0.0,1.0
0.0,0.0,0.285,0.0,1.0,2.0,1.0,0.0,0.285,0.0,0.65156794,0.0,1.0
0.0,0.0,0.265,0.0,1.0,2.0,2.0,1.0,0.265,1.0,0.83516484,1.0,0.0
0.0,0.0,0.24,0.0,0.0,4.0,1.0,0.0,0.36,0.0,0.78431374,0.0,1.0
0.0,0.0,0.27,0.0,1.0,1.0,1.0,0.0,0.272,0.0,0.6666667,0.0,1.0
0.0,0.0,0.22,1.0,0.0,1.0,2.0,0.0,0.36,0.0,0.8011364,0.0,1.0
0.0,1.0,0.31,0.0,1.0,2.0,4.0,0.0,0.31,1.0,0.88235295,0.0,0.0
0.0,0.0,0.289,0.0,0.0,2.0,2.0,0.0,0.35900003,1.0,0.9029851,0.0,0.0
0.0,0.0,0.244,0.0,1.0,1.0,2.0,0.0,0.397,0.0,0.6603774,0.0,1.0
0.0,0.0,0.26,1.0,1.0,1.0,2.0,0.0,0.34,0.0,0.7467533,0.0,1.0
0.0,1.0,0.213,0.0,1.0,2.0,2.0,0.0,0.219,1.0,0.7676768,0.0,0.0
1.0,0.0,0.32,0.0,0.0,2.0,1.0,0.0,0.32,0.0,0.85,0.0,1.0
0.0,0.0,0.24,0.0,1.0,2.0,1.0,0.0,0.32,0.0,0.94814813,0.0,1.0
0.0,0.0,0.28,0.0,0.0,2.0,1.0,0.0,0.28,0.0,0.4347826,0.0,1.0
0.0,1.0,0.32,0.0,1.0,2.0,3.0,0.0,0.38799998,1.0,0.8881119,0.0,0.0
1.0,0.0,0.18,0.0,0.0,2.0,1.0,0.0,0.25,0.0,0.7826087,0.0,1.0
0.0,0.0,0.25,0.0,1.0,1.0,1.0,0.0,0.34,0.0,0.8,0.0,1.0
0.0,0.0,0.22,0.0,0.0,2.0,2.0,0.0,0.32,0.0,0.7305936,0.0,1.0
0.0,0.0,0.256,1.0,1.0,2.0,1.0,0.0,0.312,0.0,0.7922078,0.0,1.0
0.0,0.0,0.31,0.0,0.0,2.0,1.0,0.0,0.33,0.0,0.5802469,0.0,1.0
0.0,0.0,0.31,0.0,1.0,2.0,2.0,0.0,0.32,0.0,0.6363636,0.0,1.0
0.0,0.0,0.3,0.0,1.0,1.0,2.0,0.0,0.38,0.0,0.87647057,0.0,1.0
0.0,0.0,0.2,0.0,1.0,2.0,1.0,0.0,0.32,0.0,0.7969925,0.0,1.0
0.0,0.0,0.22,0.0,1.0,2.0,1.0,0.0,0.23,0.0,0.9222222,0.0,1.0
0.0,0.0,0.27,0.0,1.0,2.0,2.0,0.0,0.27,0.0,0.75126904,0.0,1.0
1.0,0.0,0.314,0.0,0.0,1.0,5.0,0.0,0.314,0.0,0.6666667,0.0,1.0
0.0,0.0,0.23,0.0,0.0,2.0,3.0,0.0,0.35,0.0,0.8518519,0.0,1.0
1.0,0.0,0.27,1.0,0.0,2.0,2.0,0.0,0.32,0.0,0.74336284,0.0,1.0
0.0,0.0,0.102,0.0,1.0,1.0,1.0,0.0,0.35799998,0.0,0.8,0.0,1.0
0.0,0.0,0.33,0.0,0.0,2.0,1.0,0.0,0.35,1.0,0.9296875,1.0,0.0
1.0,0.0,0.24,0.0,1.0,2.0,3.0,0.0,0.34,0.0,0.92253524,0.0,1.0
0.0,0.0,0.22,1.0,0.0,2.0,2.0,0.0,0.31,0.0,0.8,0.0,1.0
0.0,0.0,0.21,0.0,1.0,3.0,3.0,0.0,0.29,0.0,0.7032258,0.0,1.0
0.0,0.0,0.39,0.0,1.0,2.0,1.0,0.0,0.61,1.0,0.5555556,0.0,0.0
0.0,0.0,0.22600001,0.0,1.0,1.0,1.0,0.0,0.26299998,0.0,0.62540716,0.0,1.0
0.0,0.0,0.258,0.0,0.0,2.0,2.0,0.0,0.262,0.0,0.6870229,0.0,1.0
0.0,0.0,0.289,0.0,1.0,2.0,1.0,0.0,0.36,0.0,0.7875,0.0,1.0
0.0,0.0,0.31,1.0,0.0,1.0,2.0,0.0,0.46,1.0,1.1055555,0.0,0.0
0.0,0.0,0.218,0.0,1.0,2.0,1.0,0.0,0.305,0.0,0.6666667,0.0,1.0
0.0,0.0,0.28,0.0,0.0,2.0,2.0,0.0,0.384,0.0,0.50666666,0.0,1.0
0.0,0.0,0.215,1.0,1.0,2.0,1.0,0.0,0.264,0.0,0.7881773,0.0,1.0
0.0,0.0,0.309,0.0,1.0,1.0,1.0,0.0,0.33,0.0,0.30232558,0.0,1.0
1.0,1.0,0.31,1.0,0.0,2.0,3.0,0.0,0.47,1.0,0.89261746,0.0,0.0
0.0,0.0,0.18,0.0,1.0,2.0,1.0,0.0,0.19,0.0,0.73888886,0.0,1.0
0.0,0.0,0.3,0.0,0.0,2.0,4.0,0.0,0.3,0.0,0.8947368,0.0,1.0
0.0,0.0,0.26,0.0,1.0,1.0,1.0,0.0,0.36,0.0,0.7386364,0.0,1.0
1.0,0.0,0.26,0.0,0.0,2.0,1.0,0.0,0.33,0.0,0.7,0.0,1.0
0.0,0.0,0.23,0.0,0.0,2.0,1.0,0.0,0.23,0.0,0.7368421,0.0,1.0
0.0,0.0,0.34,0.0,1.0,1.0,3.0,0.0,0.41,0.0,0.8,0.0,1.0
1.0,0.0,0.3,0.0,1.0,2.0,2.0,0.0,0.36,0.0,0.9506173,0.0,1.0
0.0,0.0,0.33,0.0,1.0,2.0,1.0,0.0,0.41,1.0,0.6945946,0.0,0.0
0.0,0.0,0.33,0.0,1.0,2.0,1.0,0.0,0.33,0.0,0.6818182,0.0,1.0
1.0,0.0,0.29,0.0,0.0,2.0,6.0,1.0,0.29,1.0,0.5714286,0.0,0.0
0.0,0.0,0.28,0.0,1.0,1.0,1.0,0.0,0.41,0.0,0.7867868,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,1.0,0.0,0.33,0.0,0.8978723,0.0,1.0
1.0,0.0,0.19,0.0,1.0,1.0,1.0,0.0,0.23,0.0,0.88917524,0.0,1.0
0.0,0.0,0.34,1.0,1.0,1.0,1.0,0.0,0.39,0.0,0.717037,0.0,1.0
0.0,0.0,0.15,1.0,1.0,1.0,5.0,0.0,0.39,0.0,0.79846936,0.0,1.0
0.0,0.0,0.24,0.0,1.0,1.0,1.0,0.0,0.27,0.0,0.8,0.0,1.0
0.0,0.0,0.142,1.0,0.0,1.0,1.0,0.0,0.384,0.0,0.8,0.0,1.0
0.0,1.0,0.277,0.0,0.0,2.0,6.0,0.0,0.382,0.0,0.8041237,0.0,1.0
0.0,0.0,0.261,0.0,1.0,2.0,1.0,0.0,0.37,0.0,0.5813008,0.0,1.0
0.0,0.0,0.32299998,0.0,0.0,2.0,4.0,0.0,0.325,0.0,0.7819149,0.0,1.0
0.0,0.0,0.35799998,0.0,0.0,1.0,1.0,0.0,0.398,0.0,0.64285713,0.0,1.0
0.0,0.0,0.306,0.0,0.0,2.0,2.0,0.0,0.395,0.0,0.8,0.0,1.0
0.0,0.0,0.337,0.0,0.0,2.0,1.0,0.0,0.407,0.0,0.7489362,0.0,1.0
1.0,0.0,0.199,0.0,0.0,2.0,1.0,0.0,0.301,0.0,0.7790698,0.0,1.0
0.0,0.0,0.318,0.0,0.0,2.0,1.0,0.0,0.365,0.0,0.9,0.0,1.0
1.0,0.0,0.257,0.0,0.0,2.0,1.0,0.0,0.266,0.0,0.7977528,0.0,1.0
0.0,0.0,0.24200001,0.0,1.0,2.0,1.0,0.0,0.268,0.0,0.8947368,0.0,1.0
0.0,0.0,0.22600001,0.0,1.0,2.0,1.0,0.0,0.269,0.0,0.7987805,0.0,1.0
0.0,1.0,0.315,0.0,0.0,2.0,6.0,0.0,0.409,0.0,0.88785046,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,6.0,0.0,0.308,0.0,0.5813953,0.0,1.0
1.0,0.0,0.311,0.0,0.0,2.0,5.0,0.0,0.311,0.0,0.6666667,0.0,1.0
0.0,1.0,0.3,0.0,1.0,2.0,1.0,0.0,0.36,0.0,0.8627451,0.0,1.0
0.0,0.0,0.31,0.0,1.0,2.0,2.0,0.0,0.39,0.0,0.81333333,0.0,1.0
0.0,0.0,0.32,0.0,1.0,2.0,1.0,0.0,0.32,0.0,0.7323077,0.0,1.0
0.0,0.0,0.16,0.0,1.0,2.0,1.0,0.0,0.18,0.0,0.3148148,0.0,1.0
0.0,0.0,0.27,0.0,1.0,2.0,6.0,0.0,0.34,0.0,0.37980768,0.0,1.0
1.0,1.0,0.32799998,0.0,0.0,2.0,1.0,0.0,0.32799998,0.0,0.8689655,0.0,1.0
0.0,1.0,0.2894,0.0,0.0,2.0,6.0,0.0,0.3838,1.0,0.9879518,0.0,0.0
0.0,1.0,0.253,0.0,1.0,2.0,6.0,0.0,0.338,0.0,0.9,0.0,1.0
0.0,0.0,0.271,0.0,1.0,2.0,1.0,0.0,0.28100002,0.0,0.4675,0.0,1.0
0.0,1.0,0.33380002,0.0,0.0,2.0,6.0,1.0,0.3923,1.0,0.90225565,0.0,0.0
0.0,0.0,0.20899999,0.0,1.0,1.0,1.0,0.0,0.363,0.0,0.47138047,0.0,1.0
0.0,0.0,0.2308,0.0,1.0,1.0,1.0,0.0,0.2458,0.0,0.31111112,0.0,1.0
0.0,0.0,0.3309,0.0,1.0,2.0,1.0,0.0,0.3821,0.0,0.7972973,0.0,1.0
0.0,0.0,0.28,0.0,1.0,1.0,1.0,0.0,0.32,0.0,0.65,0.0,1.0
0.0,1.0,0.255,0.0,1.0,2.0,5.0,0.0,0.286,0.0,0.65,0.0,1.0
0.0,0.0,0.21,0.0,0.0,1.0,2.0,0.0,0.266,0.0,0.5555556,0.0,1.0
0.0,1.0,0.287,0.0,1.0,1.0,1.0,0.0,0.315,0.0,0.9013158,0.0,1.0
0.0,1.0,0.239,0.0,0.0,2.0,1.0,0.0,0.3047,0.0,0.47826087,0.0,1.0
0.0,0.0,0.292,0.0,0.0,2.0,1.0,0.0,0.338,0.0,0.9028571,0.0,1.0
0.0,0.0,0.273,0.0,0.0,2.0,1.0,0.0,0.366,0.0,0.65178573,0.0,1.0
0.0,1.0,0.245,1.0,1.0,2.0,1.0,0.0,0.371,0.0,0.59322035,0.0,1.0
0.0,0.0,0.319,0.0,1.0,2.0,1.0,0.0,0.38099998,0.0,0.31558186,0.0,1.0
0.0,1.0,0.31,0.0,0.0,2.0,1.0,0.0,0.35,0.0,0.89855075,0.0,1.0
0.0,1.0,0.29,0.0,1.0,2.0,2.0,0.0,0.34,0.0,0.95238096,0.0,1.0
0.0,0.0,0.2125,0.0,1.0,2.0,6.0,0.0,0.26520002,0.0,0.8910891,0.0,1.0
0.0,0.0,0.26,0.0,0.0,2.0,2.0,0.0,0.35,0.0,0.9,0.0,1.0
0.0,1.0,0.26,0.0,0.0,2.0,6.0,0.0,0.39,1.0,0.90225565,0.0,0.0
0.0,0.0,0.24,1.0,0.0,2.0,2.0,0.0,0.39,1.0,0.779661,0.0,0.0
0.0,0.0,0.17,0.0,1.0,1.0,1.0,0.0,0.3,0.0,0.4021739,0.0,1.0
0.0,0.0,0.29,0.0,1.0,1.0,1.0,0.0,0.29,0.0,0.7090909,0.0,1.0
0.0,0.0,0.34,0.0,1.0,2.0,1.0,0.0,0.35,0.0,0.8014842,0.0,1.0
0.0,0.0,0.27,0.0,0.0,1.0,1.0,0.0,0.39,0.0,0.8333333,0.0,1.0
0.0,1.0,0.28,0.0,0.0,2.0,6.0,0.0,0.36,0.0,0.9037037,0.0,1.0
1.0,0.0,0.26,0.0,0.0,1.0,1.0,0.0,0.26,0.0,0.7361111,0.0,1.0
0.0,0.0,0.23,0.0,0.0,1.0,1.0,0.0,0.36,0.0,0.7421875,0.0,1.0
0.0,0.0,0.22,0.0,1.0,2.0,1.0,0.0,0.27,0.0,0.7740113,0.0,1.0
0.0,0.0,0.2,0.0,0.0,2.0,5.0,0.0,0.357,0.0,0.8,0.0,1.0
0.0,1.0,0.19700001,0.0,1.0,2.0,1.0,0.0,0.3,0.0,0.88349515,0.0,1.0
1.0,1.0,0.29,0.0,1.0,2.0,1.0,0.0,0.39,0.0,0.9056604,0.0,1.0
0.0,0.0,0.3,0.0,1.0,2.0,1.0,0.0,0.31,0.0,0.8979592,0.0,1.0
0.0,0.0,0.21,1.0,1.0,1.0,2.0,0.0,0.43,1.0,0.5625,0.0,0.0
0.0,1.0,0.26,0.0,1.0,2.0,6.0,1.0,0.4,1.0,0.5314685,1.0,0.0
1.0,1.0,0.23,0.0,0.0,2.0,6.0,0.0,0.34,0.0,0.8839286,0.0,1.0
0.0,0.0,0.406,1.0,1.0,2.0,4.0,0.0,0.406,1.0,0.89830506,0.0,0.0
0.0,0.0,0.13,0.0,1.0,2.0,1.0,0.0,0.23,1.0,0.33816424,0.0,0.0
0.0,0.0,0.37,1.0,0.0,1.0,1.0,0.0,0.73,1.0,0.45627376,0.0,0.0
1.0,1.0,0.35,0.0,0.0,2.0,1.0,0.0,0.38,0.0,0.57723576,0.0,1.0
1.0,1.0,0.3609,0.0,0.0,2.0,1.0,0.0,0.383,0.0,0.608,0.0,1.0
0.0,0.0,0.221,0.0,1.0,2.0,1.0,0.0,0.32,0.0,0.89719623,0.0,1.0
0.0,0.0,0.25,0.0,1.0,2.0,1.0,0.0,0.29299998,0.0,0.8521739,0.0,1.0
0.0,0.0,0.235,0.0,0.0,2.0,1.0,0.0,0.2403,0.0,0.25641027,0.0,1.0
0.0,0.0,0.115,0.0,0.0,2.0,2.0,0.0,0.19399999,0.0,0.7277778,0.0,1.0
1.0,1.0,0.259,0.0,0.0,2.0,6.0,0.0,0.294,0.0,0.57377046,0.0,1.0
1.0,1.0,0.269,0.0,0.0,2.0,2.0,0.0,0.382,0.0,0.608,0.0,1.0
0.0,1.0,0.2796,1.0,0.0,2.0,6.0,0.0,0.3798,0.0,0.608,0.0,1.0
1.0,1.0,0.2194,0.0,1.0,2.0,1.0,0.0,0.3359,0.0,0.80985916,0.0,1.0
1.0,1.0,0.27719998,0.0,0.0,2.0,6.0,0.0,0.39029998,0.0,0.608,0.0,1.0
0.0,1.0,0.3038,0.0,0.0,2.0,6.0,0.0,0.39279997,0.0,0.8,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,5.0,0.0,0.28,0.0,0.82608694,0.0,1.0
0.0,0.0,0.26,0.0,1.0,2.0,1.0,0.0,0.31,0.0,0.8968254,0.0,1.0
0.0,0.0,0.2091,1.0,0.0,2.0,1.0,0.0,0.3841,0.0,0.8,0.0,1.0
0.0,1.0,0.286,0.0,0.0,2.0,1.0,0.0,0.33400002,0.0,0.8896552,0.0,1.0
1.0,1.0,0.26,0.0,0.0,2.0,1.0,0.0,0.29,0.0,0.8924731,0.0,1.0
1.0,0.0,0.3005,0.0,0.0,2.0,1.0,0.0,0.3309,0.0,0.7457627,0.0,1.0
1.0,1.0,0.3214,0.0,0.0,2.0,1.0,0.0,0.3369,0.0,0.93333334,0.0,1.0
0.0,0.0,0.314,0.0,1.0,2.0,1.0,0.0,0.3423,0.0,0.861244,0.0,1.0
0.0,1.0,0.2577,0.0,0.0,2.0,5.0,0.0,0.3027,1.0,0.95454544,0.0,0.0
0.0,0.0,0.26520002,0.0,1.0,2.0,1.0,0.0,0.3191,0.0,0.7924528,0.0,1.0
0.0,0.0,0.21100001,0.0,1.0,2.0,1.0,0.0,0.2463,0.0,0.6880734,0.0,1.0
0.0,0.0,0.2527,1.0,1.0,2.0,2.0,0.0,0.286,0.0,0.75348836,0.0,1.0
0.0,0.0,0.27,0.0,0.0,2.0,6.0,0.0,0.27,0.0,0.79787236,0.0,1.0
1.0,0.0,0.25120002,1.0,0.0,2.0,2.0,0.0,0.282,0.0,0.9,0.0,1.0
1.0,0.0,0.2918,1.0,0.0,1.0,1.0,0.0,0.32439998,0.0,0.5647969,0.0,1.0
1.0,0.0,0.1889,1.0,1.0,2.0,2.0,0.0,0.348,0.0,0.7379679,0.0,1.0
1.0,0.0,0.296,0.0,0.0,2.0,4.0,0.0,0.296,0.0,0.47923324,0.0,1.0
0.0,0.0,0.2627,0.0,1.0,1.0,5.0,0.0,0.3198,0.0,0.5322581,0.0,1.0
0.0,0.0,0.27879998,1.0,0.0,2.0,1.0,0.0,0.4001,0.0,0.40784314,0.0,1.0
0.0,0.0,0.2544,0.0,1.0,2.0,2.0,0.0,0.27629998,0.0,0.74850297,0.0,1.0
1.0,0.0,0.2899,0.0,0.0,2.0,2.0,0.0,0.3524,0.0,0.7480916,0.0,1.0
0.0,0.0,0.121800005,0.0,1.0,2.0,1.0,0.0,0.1238,0.0,0.6930693,0.0,1.0
1.0,0.0,0.27,0.0,0.0,2.0,1.0,0.0,0.34,0.0,1.9083333,0.0,1.0
0.0,0.0,0.18180001,1.0,1.0,2.0,1.0,0.0,0.2116,0.0,0.516129,0.0,1.0
0.0,0.0,0.2752,0.0,1.0,1.0,1.0,0.0,0.28260002,0.0,0.47117794,0.0,1.0
0.0,0.0,0.2846,0.0,1.0,1.0,1.0,0.0,0.289,0.0,0.7407407,0.0,1.0
0.0,0.0,0.25,0.0,1.0,1.0,5.0,0.0,0.3,0.0,0.7712766,0.0,1.0
0.0,0.0,0.28,0.0,1.0,2.0,3.0,0.0,0.36,0.0,0.73593074,0.0,1.0
0.0,0.0,0.27,0.0,1.0,1.0,1.0,0.0,0.32,0.0,0.5641026,0.0,1.0
0.0,0.0,0.32,0.0,1.0,1.0,1.0,0.0,0.32,1.0,0.6875,0.0,0.0
0.0,0.0,0.2,0.0,1.0,1.0,5.0,0.0,0.26,0.0,0.73571426,0.0,1.0
1.0,0.0,0.21,0.0,1.0,1.0,2.0,0.0,0.26,0.0,0.7075472,0.0,1.0
1.0,0.0,0.26,1.0,0.0,1.0,2.0,0.0,0.32,1.0,0.79444444,0.0,0.0
1.0,1.0,0.33,0.0,0.0,3.0,3.0,1.0,0.42,0.0,0.8,0.0,1.0
0.0,0.0,0.33,0.0,0.0,2.0,5.0,0.0,0.34,0.0,0.64341086,0.0,1.0
0.0,0.0,0.34,0.0,1.0,2.0,1.0,0.0,0.37,0.0,0.877551,0.0,1.0
0.0,0.0,0.28,0.0,0.0,2.0,1.0,0.0,0.29,0.0,0.5925926,0.0,1.0
1.0,0.0,0.31,0.0,0.0,2.0,1.0,0.0,0.35,0.0,0.72,0.0,1.0
0.0,0.0,0.27,0.0,0.0,2.0,1.0,0.0,0.4,0.0,0.8,0.0,1.0
1.0,0.0,0.3,0.0,0.0,2.0,1.0,0.0,0.36,0.0,0.9263158,0.0,1.0
0.0,0.0,0.27,0.0,1.0,1.0,1.0,0.0,0.38,0.0,0.70454544,0.0,1.0
0.0,0.0,0.26,0.0,1.0,1.0,1.0,0.0,0.37,0.0,0.5777778,0.0,1.0
0.0,0.0,0.23,0.0,0.0,1.0,1.0,0.0,0.41,0.0,0.7056604,0.0,1.0
1.0,0.0,0.31,0.0,0.0,2.0,1.0,0.0,0.32,0.0,0.2777778,0.0,1.0
0.0,0.0,0.26,0.0,1.0,2.0,1.0,0.0,0.33,0.0,0.94623655,0.0,1.0
0.0,0.0,0.26,0.0,1.0,2.0,1.0,0.0,0.33,0.0,0.81764704,0.0,1.0
1.0,0.0,0.21,0.0,0.0,2.0,1.0,0.0,0.29,0.0,0.3125,0.0,1.0
0.0,0.0,0.11,1.0,0.0,1.0,6.0,0.0,0.37,0.0,0.3409091,0.0,1.0
