Year,Name,MasFem,MinPressure_before,Minpressure_Updated_2014,Gender_MF,Category,alldeaths,HighestWindSpeed,NDAM,Elapsed Yrs,Source
1968,Gladys,7.65625,977,977,1,2,3,145,1170,45,MWR
1969,Camille,8.875,909,909,1,5,256,174,28520,44,MWR
1970,Celia,9.21875,945,945,1,3,22,127,9050,43,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia)
1971,Edith,7.65625,978,978,1,2,0,160,380,42,MWR
1971,Fern,6.71875,979,979,1,1,2,90,690,42,MWR
1971,Ginger,8.65625,995,995,1,1,0,110,270,42,MWR
1972,Agnes,7.03125,980,980,1,1,117,87,26440,41,MWR
1974,Carmen,7.78125,952,952,1,3,1,149,1530,39,MWR
1975,Eloise,8.4375,955,955,1,3,21,125,8500,38,MWR
1976,Belle,9.78125,980,980,1,1,5,120,720,37,MWR
1977,Babe,7.90625,995,995,1,1,0,75,88,36,MWR
1979,Bob,1.71875,986,986,0,1,1,75,90,34,MWR
1979,David,1.5625,970,970,0,2,15,174,3840,34,MWR
1979,Frederic,2.0625,946,946,0,3,5,134,17170,34,MWR
1980,Allen,2.03125,945,945,0,3,2,190,3040,33,MWR
1983,Alicia,9.34375,962,962,1,3,21,115,22330,30,MWR
1984,Diana,9.21875,949,949,1,2,3,134,620,29,MWR
1985,Bob,1.71875,1002,1003,0,1,0,75,190,28,MWR
1985,Danny,2.90625,987,987,0,1,1,90,200,28,MWR
1985,Elena,8.71875,959,959,1,3,4,127,5360,28,MWR
1985,Gloria,9.1875,942,942,1,3,8,143,3920,28,MWR
1985,Juan,1.875,971,971,0,1,12,103,6140,28,MWR
1985,Kate,9.1875,967,967,1,2,5,121,1800,28,MWR
1986,Bonnie,9.25,990,990,1,1,3,115,7,27,MWR
1986,Charley,4.0,990,990,0,1,5,149,79,27,MWR
1987,Floyd,2.40625,993,993,0,1,0,75,1,26,MWR
1988,Florence,7.875,984,984,1,1,1,80,2,25,MWR
1989,Chantal,8.3125,986,986,1,1,13,80,390,24,MWR
1989,Hugo,2.0,934,934,0,4,21,162,27430,24,MWR
1989,Jerry,2.78125,983,983,0,1,3,85,320,24,MWR
1991,Bob,1.71875,962,962,0,2,15,115,4690,22,MWR
1992,Andrew,1.78125,922,922,0,5,62,174,90250,21,MWR
1993,Emily,10.03125,960,961,1,3,3,162,130,20,MWR
1995,Erin,7.125,973,973,1,2,6,100,2240,18,MWR
1995,Opal,7.65625,942,942,1,3,9,149,16510,18,MWR
1996,Bertha,7.375,974,974,1,2,8,115,1020,17,MWR
1996,Fran,7.0625,954,954,1,3,26,121,18930,17,MWR
1997,Danny,2.90625,984,984,0,1,10,80,270,16,MWR
1998,Bonnie,9.25,964,964,1,2,3,115,2410,15,MWR
1998,Earl,1.875,987,987,0,1,3,87,220,15,MWR
1998,Georges,3.375,964,964,0,2,1,155,4860,15,MWR
1999,Bret,2.90625,951,951,0,3,0,145,120,14,MWR
1999,Floyd,2.40625,956,956,0,2,56,155,16030,14,MWR
1999,Irene,8.5625,987,964,1,1,8,109,1940,14,MWR
2002,Lili,9.59375,963,963,1,1,2,143,1610,11,MWR
2003,Claudette,8.71875,979,979,1,1,3,90,330,10,MWR
2003,Isabel,9.625,957,957,1,2,51,168,11010,10,MWR
2004,Alex,4.0625,972,972,0,1,1,120,7,9,MWR
2004,Charley,4.0,941,941,0,4,10,149,37180,9,MWR
2004,Frances,6.03125,960,960,1,2,7,143,19990,9,MWR
2004,Gaston,2.40625,985,985,0,1,8,75,240,9,MWR
2004,Ivan,2.09375,946,946,0,3,25,168,36910,9,MWR
2004,Jeanne,7.90625,950,950,1,3,5,121,16800,9,MWR
2005,Cindy,8.9375,991,991,1,1,1,75,420,8,MWR
2005,Dennis,2.0,946,946,0,3,15,149,3930,8,MWR
2005,Katrina,9.46875,902,902,1,3,1833,174,148240,8,MWR
2005,Ophelia,9.125,982,982,1,1,1,115,130,8,MWR
2005,Rita,8.4375,937,937,1,3,62,177,23110,8,MWR
2005,Wilma,8.375,950,950,1,3,5,183,33410,8,MWR
2007,Humberto,2.21875,985,985,0,1,1,85,63,6,MWR
2008,Dolly,10.0625,963,967,1,1,1,99,1940,5,MWR
2008,Gustav,2.09375,951,954,0,2,52,155,7900,5,MWR
2008,Ike,2.21875,935,950,0,2,84,143,44260,5,MWR
2011,Irene,8.5625,952,952,1,1,41,121,17160,2,MWR
2012,Isaac,2.0,965,966,0,1,5,81,3430,1,MWR
2012,Sandy,7.9375,945,942,1,2,159,115,80090,1,MWR
